Soy,Tengo,Colombia,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Mujer,24 - 26,Medellín,5 - 7,5 - 6,HelpDesk,,,,,,No,0,Neto,Freelance,2750000,Neto,3,4,No,No recibo bono,Uno,11,11-50,No,No cambié de empresa,Aumento por inflación;Sueldo divido en dos pagos por mes;Viajes al exterior;Viáticos
Hombre,27 - 30,Bogotá,5 - 7,1 - 2,SysAdmin / DevOps,*BSD;HP-UX;Linux;Windows;VMWare,,,,,No,0,Bruto,Full-Time,2800000,Neto,3,3,Un sueldo,Performance individual,No,0,1-10,No,No cambié de empresa,Capacitaciones y/o cursos;Horarios flexibles;Laptop
Hombre,18 - 20,Tunja,Menos de un año,Menos de un año,Developer,,Java,,,,No,0,Porcentaje de mi sueldo,Part-Time,1200000,Bruto,4,3,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Abono de celular y/o Internet;Ninguna de las anteriores
Hombre,21 - 23,Bogotá,1 - 2,2 - 3,Soporte en sitio,,,,,,,,,Full-Time,980000,Neto,3,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Mujer,Menos de 18 años,Arauca,1 - 2,3 - 4,DBA,,,,,Cassandra;Oracle;PostgreSQL,"Sí, activa",5484,Porcentaje de mi sueldo,Remoto (empresa de otro país),8510,Neto,5,5,No,Performance individual,Dos,2,501-1000,No,Mejores beneficios,"Snacks, golosinas, bebidas, etc"
Hombre,18 - 20,Pereira,1 - 2,1 - 2,Gerente Soporte,,,,,,,,,Full-Time,4500000,Bruto,4,5,Menos de un sueldo,Performance de la compañía,Uno,7,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Cuota para universidad;Sueldo divido en dos pagos por mes
Hombre,21 - 23,Medellín,3 - 5,1 - 2,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,100000,Bruto,3,3,No,No recibo bono,Uno,30,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Horarios flexibles;Sueldo divido en dos pagos por mes
Hombre,37 - 40,Santiago de Cali,10+,6 - 7,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;VMWare,,,,,No,0,Porcentaje de mi sueldo,Full-Time,7200000,Bruto,4,4,Un sueldo,Performance individual,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos
Hombre,21 - 23,Barranquilla,1 - 2,1 - 2,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,860000,Neto,2,3,No,No recibo bono,Uno,7,1-10,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,27 - 30,Bogotá,5 - 7,1 - 2,SysAdmin / DevOps,Linux;Windows,,,,,No,0,Bruto,Full-Time,2500000,Bruto,2,2,No,No recibo bono,Uno,7,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación
Hombre,31 - 33,Santiago de Cali,8 - 10,3 - 4,IT admin,,,,,,,,,Full-Time,4400000,Bruto,4,3,No,No recibo bono,Uno,7,501-1000,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Cuota para universidad;Horarios flexibles;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,24 - 26,Bogotá,3 - 5,1 - 2,Developer,,CSS;HTML;Java;jQuery;Plsql,,,,No,0,Porcentaje de mi sueldo,Full-Time,2800000,Bruto,3,3,No,No recibo bono,Uno,15,201-500,No,No cambié de empresa,Bonos por desempeño;Clases de idiomas;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,31 - 33,Bogotá,10+,10+,Networking,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,1200000,Bruto,1,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Bogotá,5 - 7,Menos de un año,Developer,,.NET,,,,No,0,Porcentaje de mi sueldo,Full-Time,3000000,Neto,3,4,No,No recibo bono,No,0,1-10,Sí,Desafíos profesionales,WFH (Trabajar desde casa)
Hombre,21 - 23,Bogotá,3 - 5,2 - 3,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,1150000,Bruto,4,4,No,No recibo bono,Uno,3,11-50,No,No cambié de empresa,Aumento por inflación;Cuota para universidad
Hombre,27 - 30,Manizales,8 - 10,2 - 3,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, activa",0,Porcentaje de mi sueldo,Full-Time,2000000,Neto,4,4,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Medellín,1 - 2,Menos de un año,Developer,,HTML;Java;Javascript;jQuery,,,,No,0,Bruto,Full-Time,2000000,Bruto,3,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Bogotá,8 - 10,Menos de un año,SysAdmin / DevOps,Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,2000000,Bruto,4,5,No,No recibo bono,No,0,11-50,Sí,Salario,Sueldo divido en dos pagos por mes
Hombre,24 - 26,Pereira,Menos de un año,Menos de un año,Developer,,.NET;C#;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Freelance,1200000,Bruto,3,3,No,No recibo bono,No,0,1-10,Sí,Mayor comodidad,Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes
Hombre,24 - 26,Santiago de Cali,3 - 5,4 - 5,HelpDesk,,,,,,No,0,Neto,Full-Time,1150000,Neto,3,3,No,No recibo bono,Uno,5,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Bogotá,3 - 5,Menos de un año,Vigilante,,,,,,,,,Full-Time,1000000,Neto,3,3,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Barranquilla,3 - 5,1 - 2,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Part-Time,1400000,Neto,3,3,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Horarios flexibles
Hombre,27 - 30,Bogotá,1 - 2,1 - 2,Storage / Backup,,,,,,"Sí, activa",1600000,Neto,Full-Time,1400000,Neto,3,3,No,No recibo bono,Uno,5,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Bogotá,5 - 7,2 - 3,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,No,0,Porcentaje de mi sueldo,Full-Time,960000,Neto,2,3,No,No recibo bono,Uno,7,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Medellín,1 - 2,Menos de un año,Developer,,CSS;HTML;Java;Javascript;jQuery,,,,No,0,Bruto,Full-Time,3000000,Bruto,4,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Bogotá,1 - 2,1 - 2,Ventas de Tech,,,,,,,,,Full-Time,9800000,Bruto,4,4,De uno a tres sueldos,Performance individual,No,0,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,24 - 26,Medellín,3 - 5,1 - 2,HelpDesk,,,,,,"Sí, activa",0,Neto,Full-Time,1000000,Neto,3,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Laptop
Hombre,31 - 33,Bogotá,8 - 10,4 - 5,Developer,,Cobol,,,,"Sí, pasiva",0,Neto,Full-Time,3850000,Bruto,3,3,Menos de un sueldo,Performance de la compañía,Uno,4,101-200,No,No cambié de empresa,Aumento por inflación;Ninguna de las anteriores
Hombre,21 - 23,Medellín,3 - 5,2 - 3,Developer,,.NET;ActionScript;C#;CSS;HTML;Javascript;jQuery;PHP;VB *,,,,No,0,Porcentaje de mi sueldo,Full-Time,1500000,Neto,4,3,No,No recibo bono,Uno,15,11-50,No,No cambié de empresa,Capacitaciones y/o cursos;Horarios flexibles;Viajes al exterior
Hombre,21 - 23,Medellín,5 - 7,1 - 2,Developer,,Javascript;NodeJS;PHP;Python,,,,No,0,Porcentaje de mi sueldo,Full-Time,3500000,Bruto,4,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Barranquilla,1 - 2,1 - 2,Developer,,C;CSS;HTML;Javascript;jQuery;Objective-C,,,,No,0,Neto,Full-Time,1500000,Neto,2,3,Menos de un sueldo,Performance individual,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Villavicencio,10+,2 - 3,HelpDesk,,,,,,No,20000,Bruto,Part-Time,1000000,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Barranquilla,3 - 5,3 - 4,Developer,,CSS;HTML;Java;Javascript;jQuery,,,,No,0,Bruto,Full-Time,3075000,Bruto,4,4,No,No recibo bono,Uno,0.5,501-1000,No,No cambié de empresa,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,31 - 33,Bogotá,3 - 5,2 - 3,Developer,,Java,,,,No,0,Neto,Full-Time,2900000,Bruto,3,3,Menos de un sueldo,Performance de la compañía,Uno,8.4,51-100,No,No cambié de empresa,Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)
Hombre,24 - 26,Bogotá,1 - 2,1 - 2,Networking,,,,,,"Sí, activa",0,Bruto,Full-Time,2900000,Bruto,3,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Santiago de Cali,5 - 7,Menos de un año,SysAdmin / DevOps,Windows,,,,,No,0,Neto,Full-Time,690000,Neto,1,1,Menos de un sueldo,Performance individual,No,0,201-500,Sí,Cambio de administracion,Horarios flexibles;Sueldo divido en dos pagos por mes