Soy,Tengo,México,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,27 - 30,México DF,10+,7 - 8,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,No,0,Porcentaje de mi sueldo,Full-Time,2700,Neto,2,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Sueldo divido en dos pagos por mes
Hombre,34 - 36,Querétaro,5 - 7,3 - 4,Developer,,Java;Python,,,,No,0,Neto,Full-Time,50000,Neto,4,4,No,No recibo bono,Uno,5,1001+,No,No cambié de empresa,Aumento por inflación;Bonos por desempeño;Descuentos en gimnasios;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)
Hombre,24 - 26,México DF,5 - 7,3 - 4,SysAdmin / DevOps,AIX;HP-UX;Linux;Solaris,,,,,"Sí, activa",0,Bruto,Full-Time,23000,Bruto,3,3,Un sueldo,Performance grupal,No,0,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Snacks, golosinas, bebidas, etc;Viáticos;WFH (Trabajar desde casa)"
Hombre,31 - 33,México DF,3 - 5,2 - 3,SysAdmin / DevOps,Linux,,,,,No,0,Porcentaje de mi sueldo,Full-Time,8000,Bruto,1,1,De uno a tres sueldos,Performance individual,No,0,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Laptop
Hombre,34 - 36,México DF,10+,10+,HelpDesk,,,,,,"Sí, pasiva",0,Neto,Full-Time,26000,Bruto,5,5,De uno a tres sueldos,Performance individual,Uno,3,101-200,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Laptop;Sueldo divido en dos pagos por mes;Viáticos
Hombre,37 - 40,Guadalajara,10+,10+,SysAdmin / DevOps,Linux;Windows;Azure;VMWare,,,,,No,0,Neto,Full-Time,36500,Neto,4,5,Menos de un sueldo,Performance de la compañía,No,0,51-100,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos
Hombre,18 - 20,Tijuana,1 - 2,1 - 2,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,4000,Neto,4,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Capacitaciones y/o cursos;Horarios flexibles;Sueldo divido en dos pagos por mes
Hombre,27 - 30,México DF,10+,7 - 8,HelpDesk,,,,,,No,0,Bruto,Freelance,8000,Neto,4,4,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Laptop
Hombre,18 - 20,Tijuana,3 - 5,Menos de un año,Programmer,,,,,,,,,Full-Time,14000,Neto,3,3,De uno a tres sueldos,Performance individual,No,0,11-50,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Horarios flexibles;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,31 - 33,México DF,10+,Menos de un año,Mantenimiento de equipo de computo y sistemas digitales,,,,,,,,,Full-Time,16000,Neto,3,4,No,No recibo bono,No,0,51-100,Sí,Mejor ambiente laboral,Sueldo divido en dos pagos por mes
Hombre,34 - 36,Tijuana,8 - 10,Menos de un año,HelpDesk,,,,,,No,0,Bruto,Full-Time,18000,Neto,4,2,No,No recibo bono,No,0,501-1000,Sí,Mejores beneficios,Clases de idiomas
Hombre,24 - 26,Chihuahua,3 - 5,1 - 2,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Bruto,4,4,No,No recibo bono,Uno,10,1001+,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles;Sueldo divido en dos pagos por mes;Viáticos
Hombre,24 - 26,Hermosillo,5 - 7,Menos de un año,HelpDesk,,,,,,No,0,Neto,Full-Time,7000,Neto,1,1,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Clases de idiomas;Comidas pagas/subvencionadas;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,27 - 30,Tuxtla Gutiérrez,5 - 7,2 - 3,Developer,,.NET;C#;CSS;HTML;Java;PHP;VB *,,,,No,0,Porcentaje de mi sueldo,Full-Time,13000,Bruto,3,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Laptop;Sueldo divido en dos pagos por mes;Viáticos;WFH (Trabajar desde casa)
Hombre,27 - 30,Veracruz,3 - 5,4 - 5,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,13000,Neto,3,3,De uno a tres sueldos,Mix de las anteriores,No,0,101-200,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos
Hombre,31 - 33,Villahermosa,3 - 5,1 - 2,SysAdmin / DevOps,Linux;Windows;Docker / Containers;VMWare,,,,,"Sí, activa",0,Neto,Full-Time,11000,Neto,2,1,No,Mix de las anteriores,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Victoria de Durango,3 - 5,1 - 2,DBA,,,,,MSSQL,No,0,Bruto,Full-Time,13652,Bruto,4,4,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Viáticos
Hombre,27 - 30,Cancún,3 - 5,3 - 4,SysAdmin / DevOps,Windows;VMWare,,,,,No,0,Neto,Full-Time,16000,Neto,4,3,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,21 - 23,México DF,3 - 5,Menos de un año,HelpDesk,,,,,,No,0,Neto,Full-Time,8000,Neto,4,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)
Hombre,24 - 26,Reynosa,1 - 2,1 - 2,SysAdmin / DevOps,Linux;Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,10000,Neto,2,3,Menos de un sueldo,Performance de la compañía,No,0,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Laptop;Viáticos
Hombre,34 - 36,Veracruz,10+,2 - 3,Developer,,.NET;Javascript;VB *,,,,No,0,Neto,Full-Time,15000,Neto,3,3,Menos de un sueldo,Performance individual,No,0,501-1000,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Monterrey,3 - 5,Menos de un año,Developer,,CSS;HTML;Java;Javascript;jQuery;PHP,,,,"Sí, activa",800,Neto,Full-Time,33000,Bruto,4,3,Menos de un sueldo,Performance individual,No,0,51-100,No,No cambié de empresa,Clases de idiomas;Playroom
Hombre,24 - 26,Monterrey,3 - 5,1 - 2,Developer,,CSS;HTML;Java;Javascript;jQuery;PHP,,,,No,0,Bruto,Full-Time,15000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,México DF,8 - 10,Menos de un año,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,29200,Bruto,3,3,No,No recibo bono,No,0,201-500,No,Salario,Comidas pagas/subvencionadas;Laptop;Sueldo divido en dos pagos por mes;Viáticos
Hombre,27 - 30,Monterrey,5 - 7,1 - 2,HelpDesk,,,,,,No,0,Neto,Full-Time,10000,Neto,3,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Guadalajara,1 - 2,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,19000,Bruto,4,4,De uno a tres sueldos,Performance individual,No,0,501-1000,No,No cambié de empresa,"Bonos por desempeño;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos"
Hombre,27 - 30,Guadalajara,3 - 5,3 - 4,SAP Admin,,,,,,,,,Full-Time,24500,Bruto,4,4,Menos de un sueldo,Mix de las anteriores,No,0,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Laptop;Sueldo divido en dos pagos por mes
Hombre,27 - 30,Monterrey,5 - 7,3 - 4,Networking,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,24000,Bruto,3,2,Menos de un sueldo,Mix de las anteriores,Uno,1,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Monterrey,3 - 5,1 - 2,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery,,,,No,0,Neto,Full-Time,28000,Neto,3,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Horarios flexibles;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,27 - 30,México DF,5 - 7,1 - 2,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,21000,Neto,2,3,Un sueldo,Performance de la compañía,Uno,4,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Descuentos en gimnasios;Laptop;Sueldo divido en dos pagos por mes
Hombre,31 - 33,Mérida,8 - 10,1 - 2,HelpDesk,,,,,,No,0,Neto,Full-Time,7200,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,México DF,5 - 7,5 - 6,SysAdmin / DevOps,Linux;Docker / Containers,,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,4,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Horarios flexibles;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,24 - 26,Guadalajara,3 - 5,2 - 3,It technical support,,,,,,,,,Full-Time,8300,Bruto,3,2,No,No recibo bono,Uno,3.5,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,México DF,10+,1 - 2,SysAdmin / DevOps,Windows,,,,,No,0,Neto,Full-Time,10500,Neto,2,2,No,No recibo bono,Uno,5,51-100,Sí,Desafíos profesionales,Capacitaciones y/o cursos
Hombre,21 - 23,México DF,1 - 2,1 - 2,QA / Tester,,,Mix,Selenium;Codeception,,,,,Part-Time,8000,Neto,4,4,Menos de un sueldo,Mix de las anteriores,Uno,50,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes
Hombre,24 - 26,Monterrey,5 - 7,2 - 3,Developer,,CSS;HTML;Java;jQuery,,,,No,0,Bruto,Full-Time,25000,Bruto,4,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,27 - 30,Mérida,8 - 10,2 - 3,HelpDesk,,,,,,No,0,Bruto,Full-Time,6200,Neto,3,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Aguascalientes,3 - 5,Menos de un año,HelpDesk,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Remoto (empresa de otro país),23000,Neto,3,4,No,No recibo bono,No,0,1-10,Sí,Salario,Laptop;Sueldo divido en dos pagos por mes
Hombre,27 - 30,Guadalajara,8 - 10,4 - 5,Networking,,,,,,No,0,Porcentaje de mi sueldo,Freelance,10000,Bruto,2,2,No,No recibo bono,Uno,5,1-10,No,No cambié de empresa,Comidas pagas/subvencionadas;Horarios flexibles;Viajes al exterior;Viáticos
Hombre,34 - 36,Villahermosa,10+,5 - 6,Networking,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,20000,Bruto,3,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Guadalajara,3 - 5,1 - 2,SysAdmin / DevOps,AIX;Linux;Windows,,,,,"Sí, pasiva",0,Bruto,Full-Time,11000,Neto,3,5,Un sueldo,Performance de la compañía,Uno,8,1001+,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,24 - 26,Monterrey,1 - 2,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,28000,Bruto,4,5,Un sueldo,Mix de las anteriores,No,0,1001+,Sí,Salario,"Cuota para universidad;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)"
Hombre,24 - 26,Monterrey,1 - 2,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,28000,Bruto,4,5,Un sueldo,Mix de las anteriores,No,0,1001+,Sí,Salario,"Cuota para universidad;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)"
Hombre,24 - 26,Veracruz,1 - 2,1 - 2,SysAdmin / DevOps,*BSD;Windows;mssql server,,,,,No,0,Bruto,Full-Time,8000,Neto,2,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas;Laptop;Sueldo divido en dos pagos por mes;Viáticos
Hombre,31 - 33,México DF,5 - 7,5 - 6,Developer,,Java,,,,No,0,Bruto,Full-Time,38500,Bruto,4,5,Menos de un sueldo,Mix de las anteriores,No,0,101-200,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Stock options;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos;WFH (Trabajar desde casa)"
Hombre,24 - 26,Monterrey,3 - 5,Menos de un año,Developer,,CSS;HTML;Javascript;jQuery;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Bruto,3,4,No,No recibo bono,No,0,1-10,Sí,Mejores beneficios,"Horarios flexibles;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Mujer,27 - 30,Monterrey,1 - 2,1 - 2,QA / Tester,,,Funcional,OpenQA;Testlink,,,,,Full-Time,4000,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,21 - 23,México DF,Menos de un año,Menos de un año,QA / Tester,,,Mix,Test Complete;ALM,,,,,Part-Time,7920,Neto,4,3,No,No recibo bono,No,0,1-10,Sí,Mejores beneficios,Horarios flexibles;WFH (Trabajar desde casa)
Hombre,Menos de 18 años,Veracruz,Menos de un año,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Freelance,1500,Bruto,4,4,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Snacks, golosinas, bebidas, etc"
Hombre,46 - 49,Puebla de Zaragoza,10+,10+,HelpDesk,,,,,,"Sí, activa",250,Bruto,Full-Time,3900,Bruto,1,1,Menos de un sueldo,Performance individual,No,0,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,San Luis Potosí,Menos de un año,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,8000,Bruto,3,4,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Capacitaciones y/o cursos
Mujer,24 - 26,Guadalajara,1 - 2,Menos de un año,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery;VB *,,,,No,0,Porcentaje de mi sueldo,Full-Time,13500,Neto,3,3,Un sueldo,Mix de las anteriores,No,0,1001+,Sí,Mejores beneficios,"Bonos por desempeño;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Stock options"
