Soy,Tengo,Uruguay,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,31 - 33,Montevideo,10+,9 - 10,Developer,,CSS;HTML;Java;Javascript;jQuery;NodeJS,,,,No,0,Neto,Remoto (empresa de otro país),100000,Neto,5,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Laptop;WFH (Trabajar desde casa)
Hombre,21 - 23,Montevideo,1 - 2,1 - 2,Seguridad Informática,,,,,,,,,Part-Time,34000,Bruto,4,4,Menos de un sueldo,Performance grupal,Uno,8,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Guardería;Horarios flexibles"
Hombre,21 - 23,Montevideo,1 - 2,1 - 2,Networking,,,,,,No,35000,Neto,Full-Time,35000,Neto,4,3,Menos de un sueldo,Performance individual,Dos,15,101-200,No,No cambié de empresa,"Abono de celular y/o Internet;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Snacks, golosinas, bebidas, etc"
Hombre,27 - 30,Montevideo,5 - 7,2 - 3,HelpDesk,,,,,,"Sí, pasiva",8500,Bruto,Full-Time,33800,Bruto,3,3,No,No recibo bono,Uno,9,501-1000,No,No cambié de empresa,Horarios flexibles
Hombre,31 - 33,Montevideo,8 - 10,5 - 6,SysAdmin / DevOps,*BSD;Linux;Windows;Azure;VMWare,,,,,"Sí, pasiva",2500,Neto,Full-Time,33000,Neto,2,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Aumento por inflación
Hombre,46 - 49,Montevideo,10+,2 - 3,Networking,,,,,,No,0,Neto,Full-Time,19000,Neto,1,2,No,No recibo bono,Más de dos,0.5,51-100,No,Mayor comodidad,Aumento por inflación
Hombre,34 - 36,Montevideo,8 - 10,8 - 9,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,53000,Bruto,3,2,No,No recibo bono,Uno,5,501-1000,No,No cambié de empresa,Aumento por inflación
Hombre,27 - 30,Montevideo,3 - 5,5 - 6,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery;NodeJS,,,,"Sí, pasiva",0,Bruto,Full-Time,50000,Bruto,2,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias);Ninguna de las anteriores
Hombre,31 - 33,Montevideo,8 - 10,1 - 2,HelpDesk,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,51000,Bruto,4,2,Un sueldo,Performance de la compañía,Uno,11,1-10,No,No cambié de empresa,Aumento por inflación;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior
Hombre,31 - 33,Montevideo,3 - 5,Menos de un año,QA / Tester,,,Mix,Selenium,,,,,Full-Time,42000,Neto,3,2,No,No recibo bono,No,0,1001+,No,Mejores beneficios,Horarios flexibles
Hombre,24 - 26,Montevideo,5 - 7,2 - 3,SysAdmin / DevOps,Linux;Windows;Azure;VMWare,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,34000,Neto,4,3,No,No recibo bono,Uno,8,101-200,No,No cambié de empresa,Aumento por inflación;Descuentos en gimnasios
Mujer,31 - 33,Montevideo,8 - 10,6 - 7,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,34000,Neto,3,3,No,No recibo bono,Uno,5,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Montevideo,8 - 10,Menos de un año,HelpDesk,,,,,,No,0,Bruto,Full-Time,40000,Bruto,3,3,No,No recibo bono,Uno,3,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Playroom;WFH (Trabajar desde casa)
Hombre,18 - 20,San José de Mayo,1 - 2,Menos de un año,HelpDesk,,,,,,No,0,Neto,Full-Time,16520,Bruto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Montevideo,5 - 7,6 - 7,"Help Desk, Networking, SysAdmin/DevOps",,,,,,,,,Full-Time,40000,Bruto,3,3,No,No recibo bono,Uno,9.4,101-200,No,No cambié de empresa,Aumento por inflación
Hombre,21 - 23,Maldonado,3 - 5,2 - 3,Hostelería ,,,,,,,,,Full-Time,19000,Neto,3,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Montevideo,5 - 7,2 - 3,Developer,,HTML;Java;Javascript;jQuery;Ruby,,,,No,0,Neto,Full-Time,70000,Bruto,4,4,3+ sueldos,Performance de la compañía,Uno,12,201-500,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Cuota para universidad;Descuentos en gimnasios;Horarios flexibles;Laptop;Viajes al exterior;WFH (Trabajar desde casa)
Hombre,24 - 26,Montevideo,3 - 5,2 - 3,Developer,,Java,,,,No,0,Bruto,Full-Time,43000,Neto,2,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Snacks, golosinas, bebidas, etc;Viajes al exterior"
Hombre,37 - 40,Salto,10+,9 - 10,SysAdmin / DevOps,*BSD;HP-UX;Linux;Windows;OpenStack,,,,,"Sí, activa",4500,Neto,Part-Time,22500,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Montevideo,1 - 2,1 - 2,Developer,,CSS;HTML;Javascript;jQuery;PHP;Angular js,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Neto,3,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Laptop
Hombre,24 - 26,Montevideo,1 - 2,Menos de un año,HelpDesk,,,,,,"Sí, activa",5000,Bruto,Full-Time,27000,Bruto,2,1,No,No recibo bono,No,0,101-200,Sí,Desafíos profesionales,Ninguna de las anteriores;ninguno
Hombre,21 - 23,Las Piedras,3 - 5,1 - 2,SysAdmin / DevOps,Linux;Windows,,,,,No,0,Neto,Part-Time,23000,Neto,5,4,No,No recibo bono,Uno,2,51-100,No,No cambié de empresa,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Montevideo,3 - 5,3 - 4,Consultor ,,,,,,,,,Full-Time,38000,Neto,2,2,Un sueldo,Performance de la compañía,No,0,201-500,No,No cambié de empresa,Clases de idiomas;Laptop
Hombre,21 - 23,Montevideo,1 - 2,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,26000,Bruto,2,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Aumento por inflación;Ninguna de las anteriores
Hombre,34 - 36,Montevideo,8 - 10,2 - 3,HelpDesk,,,,,,No,0,Neto,Full-Time,28000,Bruto,2,2,No,No recibo bono,Uno,9,201-500,No,No cambié de empresa,Comidas pagas/subvencionadas;Descuentos en gimnasios
Hombre,24 - 26,Montevideo,5 - 7,2 - 3,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery;PHP,,,,"Sí, pasiva",0,Bruto,Part-Time,34500,Bruto,3,2,Menos de un sueldo,Performance de la compañía,No,0,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Montevideo,5 - 7,1 - 2,Developer,,.NET;CSS;HTML;Javascript;jQuery,,,,No,0,Neto,Full-Time,50000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Aumento por inflación;Horarios flexibles
Hombre,31 - 33,Montevideo,5 - 7,3 - 4,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,21000,Neto,3,2,Un sueldo,Performance de la compañía,Uno,9,201-500,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Viáticos
Hombre,24 - 26,Montevideo,1 - 2,1 - 2,HelpDesk,,,,,,No,0,Bruto,Full-Time,24000,Neto,3,3,Menos de un sueldo,Performance individual,Uno,9.4,1001+,No,No cambié de empresa,Bonos por desempeño;Capacitaciones y/o cursos;Descuentos en gimnasios;Bono por idioma extranjero.
Mujer,34 - 36,Montevideo,5 - 7,4 - 5,HelpDesk,,,,,,No,0,Neto,Full-Time,38,Neto,4,2,Un sueldo,Performance de la compañía,Uno,8,201-500,No,No cambié de empresa,"Comidas pagas/subvencionadas;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Montevideo,Menos de un año,2 - 3,QA / Tester,,,Funcional,Test Complete,,,,,Full-Time,31000,Neto,3,3,No,No recibo bono,No,9,1001+,No,No cambié de empresa,Aumento por inflación
Mujer,34 - 36,Montevideo,8 - 10,Menos de un año,PM,,,,,,,,,Full-Time,60000,Neto,5,3,Menos de un sueldo,Performance individual,No,0,11-50,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);mejor seguro médico "
Hombre,37 - 40,Montevideo,10+,5 - 6,HelpDesk,,,,,,"Sí, activa",10300,Bruto,Full-Time,32500,Neto,3,1,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Maldonado,5 - 7,5 - 6,DBA,,,,,Citrix,No,0,Porcentaje de mi sueldo,Full-Time,190000,Neto,5,3,Un sueldo,Mix de las anteriores,Dos,9,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Horarios flexibles;Laptop
Hombre,24 - 26,Montevideo,1 - 2,1 - 2,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,No,0,Bruto,Part-Time,31700,Bruto,3,4,Menos de un sueldo,Performance de la compañía,Uno,6,201-500,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,21 - 23,Montevideo,3 - 5,Menos de un año,Support,,,,,,,,,Full-Time,23000,Neto,2,2,No,No recibo bono,Uno,9,201-500,No,No cambié de empresa,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,27 - 30,Montevideo,5 - 7,1 - 2,SysAdmin / DevOps,Windows,,,,,"Sí, pasiva",0,Neto,Full-Time,60000,Neto,5,4,Un sueldo,Performance de la compañía,Uno,8,1-10,No,Desafíos profesionales,"Abono de celular y/o Internet;Aumento por inflación;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop"
Hombre,21 - 23,Montevideo,1 - 2,Menos de un año,Developer,,CSS;HTML;Javascript;NodeJS,,,,No,0,Neto,Full-Time,50000,Neto,3,3,No,No recibo bono,No,0,1-10,Sí,Desafíos profesionales,Horarios flexibles
Hombre,27 - 30,Montevideo,8 - 10,6 - 7,PM,,,,,,,,,Full-Time,93000,Bruto,2,3,No,No recibo bono,Uno,5,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Montevideo,8 - 10,4 - 5,Developer,,Java;Genexus,,,,No,0,Bruto,Full-Time,95000,Bruto,5,3,No,No recibo bono,Uno,3.6,1001+,No,No cambié de empresa,Aumento por inflación;Comidas pagas/subvencionadas;Horarios flexibles
Hombre,34 - 36,Paysandú,8 - 10,5 - 6,It manager,,,,,,,,,Full-Time,60000,Neto,3,2,No,No recibo bono,Uno,3,101-200,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,31 - 33,Montevideo,8 - 10,1 - 2,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, pasiva",4000,Bruto,Full-Time,54000,Bruto,3,4,Menos de un sueldo,Es beneficio de la empresa,Dos,8,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles
Hombre,31 - 33,Montevideo,8 - 10,2 - 3,HelpDesk,,,,,,"Sí, pasiva",2900,Neto,Full-Time,30000,Neto,3,2,No,No recibo bono,Uno,5,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Montevideo,10+,4 - 5,SysAdmin / DevOps,Linux;Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Neto,2,4,No,No recibo bono,Uno,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,46 - 49,Montevideo,10+,10+,Networking,,,,,,"Sí, activa",8,Porcentaje de mi sueldo,Full-Time,52000,Neto,2,3,De uno a tres sueldos,Mix de las anteriores,Uno,5,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Guardería;Viáticos"
Mujer,24 - 26,Montevideo,3 - 5,1 - 2,QA / Tester,,,Funcional,Ninguna de estas,,,,,Full-Time,30000,Neto,2,2,No,No recibo bono,Uno,9,201-500,No,No cambié de empresa,Horarios flexibles
Hombre,27 - 30,Montevideo,5 - 7,5 - 6,SysAdmin / DevOps,HP-UX;Linux;Windows;VMWare,,,,,"Sí, pasiva",230,Bruto,Full-Time,31000,Bruto,3,4,Menos de un sueldo,Performance individual,No,0,51-100,No,No cambié de empresa,Bonos por desempeño
Hombre,37 - 40,Montevideo,10+,5 - 6,QA / Tester,,,Funcional,Selenium;Caja Negra ,,,,,Full-Time,44000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop
Hombre,27 - 30,Montevideo,8 - 10,1 - 2,Developer,,.NET;C++;C#;HTML;Java;Javascript;jQuery;NodeJS;Grails,,,,No,0,Neto,Full-Time,75000,Neto,4,3,No,No recibo bono,Uno,3,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Viajes al exterior;WFH (Trabajar desde casa)
Hombre,27 - 30,Montevideo,3 - 5,3 - 4,Developer,,ActionScript;CSS;HTML;Javascript;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,95000,Neto,4,5,No,No recibo bono,No,0,1-10,Sí,Desafíos profesionales,"Capacitaciones y/o cursos;Clases de idiomas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles"
Hombre,24 - 26,Montevideo,3 - 5,2 - 3,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, pasiva",200,Porcentaje de mi sueldo,Full-Time,21000,Bruto,3,3,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación
Hombre,21 - 23,Montevideo,3 - 5,1 - 2,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,9500,Neto,3,3,No,No recibo bono,No,0,1-10,Sí,Mayor comodidad,Abono de celular y/o Internet;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,18 - 20,Montevideo,Menos de un año,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,24800,Bruto,4,3,Un sueldo,Obligatorio por el estado,No,0,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas
Hombre,24 - 26,Montevideo,3 - 5,2 - 3,PM,,,,,,,,,Full-Time,489000,Bruto,5,5,3+ sueldos,Performance de la compañía,Uno,9,201-500,No,No cambié de empresa,"Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Viajes al exterior"
Hombre,37 - 40,Rivera,10+,4 - 5,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,No,0,Neto,Full-Time,65000,Bruto,3,3,De uno a tres sueldos,Performance de la compañía,Dos,10,101-200,No,Salario,Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Cuota para universidad
Hombre,34 - 36,Montevideo,10+,4 - 5,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;Azure;Docker / Containers;OpenStack;VMWare,,,,,No,0,Bruto,Full-Time,60000,Bruto,3,3,No,No recibo bono,Uno,10,201-500,No,No cambié de empresa,Horarios flexibles
Mujer,21 - 23,Montevideo,3 - 5,3 - 4,SysAdmin / DevOps,Windows;VMWare,,,,,No,600,Porcentaje de mi sueldo,Full-Time,10000,Neto,4,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles
Hombre,27 - 30,Montevideo,3 - 5,1 - 2,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery,,,,No,0,Bruto,Full-Time,62000,Neto,4,3,Un sueldo,Mix de las anteriores,Uno,9,1001+,No,No cambié de empresa,Capacitaciones y/o cursos;Horarios flexibles
Hombre,Menos de 18 años,Montevideo,Menos de un año,Menos de un año,HelpDesk,,,,,,"Sí, activa",10,Porcentaje de mi sueldo,Full-Time,15000,Neto,3,3,Menos de un sueldo,Performance de la compañía,Uno,10,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Laptop;WFH (Trabajar desde casa)
Hombre,34 - 36,Montevideo,3 - 5,2 - 3,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,22000,Neto,3,3,Menos de un sueldo,Performance de la compañía,No,0,1-10,No,No cambié de empresa,Laptop;WFH (Trabajar desde casa)
Hombre,24 - 26,Montevideo,3 - 5,Menos de un año,Networking,,,,,,No,0,Bruto,Part-Time,22000,Neto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,21 - 23,Montevideo,3 - 5,1 - 2,SysAdmin / DevOps,Windows;VMWare,,,,,"Sí, pasiva",5500,Porcentaje de mi sueldo,Full-Time,21000,Neto,4,3,No,No recibo bono,Dos,10.5,51-100,No,No cambié de empresa,"Abono de celular y/o Internet;Aumento por inflación;Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,21 - 23,Montevideo,3 - 5,Menos de un año,Developer,,CSS;Go;HTML;Java;Javascript;jQuery;Python,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,84000,Bruto,3,4,Un sueldo,Performance de la compañía,Uno,34,1001+,No,No cambié de empresa,"Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Viajes al exterior;Viáticos;WFH (Trabajar desde casa)"
Mujer,34 - 36,Montevideo,10+,10+,PM,,,,,,,,,Full-Time,60000,Neto,4,4,No,No recibo bono,No,0,1-10,Sí,Desafíos profesionales,"Aumento por inflación;Capacitaciones y/o cursos;Horarios flexibles;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,46 - 49,Tacuarembó,10+,10+,Developer,,ABAP;Genexus,,,,No,0,Porcentaje de mi sueldo,Full-Time,110000,Bruto,3,3,No,No recibo bono,Uno,10,1001+,No,No cambié de empresa,Comidas pagas/subvencionadas;Horarios flexibles
Hombre,24 - 26,Montevideo,Menos de un año,Menos de un año,Developer,,CSS;HTML;Javascript;jQuery;sharepoint,,,,No,0,Porcentaje de mi sueldo,Part-Time,22000,Bruto,4,4,No,No recibo bono,No,0,1-10,Sí,Mayor comodidad,"Aumento por inflación;Comidas pagas/subvencionadas;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos;WFH (Trabajar desde casa)"
Hombre,31 - 33,Montevideo,8 - 10,3 - 4,Middleware,,,,,,,,,Part-Time,35000,Neto,3,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Montevideo,3 - 5,Menos de un año,SysAdmin / DevOps,HP-UX;Linux;Windows;VMWare,,,,,"Sí, pasiva",6600,Bruto,Full-Time,60000,Bruto,4,4,Menos de un sueldo,Performance individual,No,0,501-1000,Sí,Salario,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Cuota para universidad;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Viajes al exterior;Viáticos"
Hombre,37 - 40,Montevideo,10+,10+,Networking,,,,,,No,0,Neto,Full-Time,90000,Bruto,5,4,De uno a tres sueldos,Performance de la compañía,Uno,10,51-100,No,No cambié de empresa,Bonos por desempeño;Capacitaciones y/o cursos;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,27 - 30,Montevideo,3 - 5,1 - 2,Consultor,,,,,,,,,Full-Time,48000,Neto,3,4,De uno a tres sueldos,Mix de las anteriores,Uno,10,201-500,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Cuota para universidad;Laptop;Snacks, golosinas, bebidas, etc;WFH (Trabajar desde casa)"
Hombre,24 - 26,Montevideo,5 - 7,2 - 3,DBA,,,,,MSSQL;Oracle,No,0,Porcentaje de mi sueldo,Full-Time,73000,Bruto,4,3,Un sueldo,Performance de la compañía,Uno,10,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;WFH (Trabajar desde casa)"
Hombre,24 - 26,Montevideo,5 - 7,3 - 4,Networking,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,28000,Neto,4,3,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Guardería;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,31 - 33,Montevideo,8 - 10,1 - 2,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,28000,Neto,4,3,Un sueldo,Performance de la compañía,Dos,5,101-200,No,No cambié de empresa,"Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,27 - 30,Montevideo,5 - 7,1 - 2,PM,,,,,,,,,Full-Time,45000,Neto,4,4,De uno a tres sueldos,Performance individual,Uno,8,11-50,No,No cambié de empresa,Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios
Hombre,24 - 26,Montevideo,3 - 5,3 - 4,Developer,,ActionScript;Java,,,,No,0,Porcentaje de mi sueldo,Part-Time,31200,Bruto,3,4,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Aumento por inflación;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,46 - 49,Montevideo,10+,10+,Developer,,Java;VB *;Genexus,,,,No,0,Neto,Part-Time,46000,Bruto,4,1,No,No recibo bono,Uno,8.54,11-50,No,No cambié de empresa,Aumento por inflación
Hombre,31 - 33,Montevideo,3 - 5,2 - 3,Developer,,C#;CSS;HTML;Javascript;jQuery;NodeJS;PHP;Python,,,,No,0,Porcentaje de mi sueldo,Full-Time,40000,Neto,2,3,Menos de un sueldo,Performance individual,No,0,11-50,No,No cambié de empresa,Aumento por inflación;Bonos por desempeño;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)