Soy,Tengo,Venezuela,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,34 - 36,Caracas,8 - 10,1 - 2,HelpDesk,,,,,,"Sí, pasiva",0,Neto,Full-Time,45000,Neto,1,1,No,No recibo bono,Uno,50,101-200,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,18 - 20,Maracaibo,1 - 2,1 - 2,Designer,,,,,,,,,Full-Time,18000,Bruto,2,2,No,No recibo bono,Uno,40,1-10,No,No cambié de empresa,Comidas pagas/subvencionadas;Viáticos
Hombre,27 - 30,Barcelona,3 - 5,Menos de un año,Developer,,.NET;C#;HTML;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,60000,Neto,3,3,Menos de un sueldo,Fijo,Uno,100,501-1000,Sí,Mayor comodidad,Aumento por inflación;Capacitaciones y/o cursos;Guardería;Viajes al exterior
Hombre,31 - 33,Valencia,8 - 10,1 - 2,HelpDesk,,,,,,No,0,Neto,Full-Time,100000,Bruto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos
Hombre,21 - 23,Barcelona,1 - 2,Menos de un año,Developer,,HTML;Javascript;jQuery;PHP,,,,"Sí, pasiva",0,Neto,Full-Time,16000,Neto,1,1,De uno a tres sueldos,Performance grupal,No,0,11-50,Sí,Desafíos profesionales,Ninguna de las anteriores
Hombre,31 - 33,Barquisimeto,10+,7 - 8,Developer,,HTML;PHP,,,,No,0,Bruto,Full-Time,350000,Bruto,3,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,18 - 20,Caracas,Menos de un año,Menos de un año,Developer,,.NET;Assembler;C;CSS;HTML;Java;Python,,,,No,0,Neto,Full-Time,25000,Neto,1,1,No,Performance individual,No,0,51-100,Sí,Salario,Comidas pagas/subvencionadas
Hombre,21 - 23,Maracaibo,Menos de un año,Menos de un año,Developer,,HTML;Java;Ruby,,,,No,0,Neto,Full-Time,40000,Neto,2,2,No,No recibo bono,Uno,15,1001+,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,24 - 26,Caracas,3 - 5,Menos de un año,SysAdmin / DevOps,Linux;Solaris;Windows;OpenStack;VMWare,,,,,No,0,Bruto,Full-Time,50,Neto,3,2,No,No recibo bono,Uno,30,1-10,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,24 - 26,Caracas,1 - 2,1 - 2,DBA,,,,,PL/SQL,"Sí, pasiva",15000,Bruto,Full-Time,150000,Bruto,5,4,Menos de un sueldo,Performance grupal,No,0,201-500,Sí,Salario,"Bonos por desempeño;Capacitaciones y/o cursos;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos;WFH (Trabajar desde casa)"
Hombre,27 - 30,Valencia,3 - 5,3 - 4,HelpDesk,,,,,,No,0,Neto,Full-Time,11200,Bruto,1,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Bonos por desempeño;Capacitaciones y/o cursos
Hombre,34 - 36,Maturin,8 - 10,3 - 4,Networking,,,,,,No,0,Neto,Freelance,70000,Neto,3,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Maturin,5 - 7,Menos de un año,SysAdmin / DevOps,Linux;Docker / Containers;VMWare,,,,,No,0,Neto,Full-Time,22000,Neto,2,2,De uno a tres sueldos,Performance de la compañía,No,0,11-50,Sí,Salario,Bonos por desempeño;Capacitaciones y/o cursos;Laptop;Viáticos
Hombre,21 - 23,Maracaibo,1 - 2,Menos de un año,Developer,,CSS;HTML;Java;Javascript,,,,No,0,Bruto,Full-Time,60000,Neto,2,2,Menos de un sueldo,Performance individual,Uno,25,201-500,No,No cambié de empresa,Bonos por desempeño;Comidas pagas/subvencionadas;Horarios flexibles;Viáticos
Hombre,27 - 30,Caracas,1 - 2,1 - 2,IT SPECIALIST,,,,,,,,,Full-Time,54000,Bruto,3,2,De uno a tres sueldos,Performance de la compañía,Uno,50,11-50,No,Salario,alimentacion